sales_account,product,category,status,normalized_sales_account,normalized_product
GOLD SALES ACCOUNT - 14K,GOLD ORNAMENTS 14K,GOLD,ACTIVE,GOLD SALES ACCOUNT - 14K,GOLD ORNAMENTS 14K
GOLD SALES ACCOUNT - 18K,GOLD ORNAMENTS 18K,GOLD,ACTIVE,GOLD SALES ACCOUNT - 18K,GOLD ORNAMENTS 18K
GOLD SALES ACCOUNT - 18K,CUSTOMER GOLD ORNAMENTS 18K,GOLD,ACTIVE,GOLD SALES ACCOUNT - 18K,CUSTOMER GOLD ORNAMENTS 18K
GOLD SALES ACCOUNT - 22K,BLACK BEADS,GOLD,ACTIVE,GOLD SALES ACCOUNT - 22K,BLACK BEADS
GOLD SALES ACCOUNT - 22K,CUSTOMER GOLD ORNAMENTS 22K,GOLD,ACTIVE,GOLD SALES ACCOUNT - 22K,CUSTOMER GOLD ORNAMENTS 22K
GOLD SALES ACCOUNT - 22K,DORI,GOLD,ACTIVE,GOLD SALES ACCOUNT - 22K,DORI
GOLD SALES ACCOUNT - 22K,GOLD ORNAMENTS 22K,GOLD,ACTIVE,GOLD SALES ACCOUNT - 22K,GOLD ORNAMENTS 22K
GOLD SALES ACCOUNT - 22K,LAC,GOLD,ACTIVE,GOLD SALES ACCOUNT - 22K,LAC
GOLD SALES ACCOUNT - 22K,"WAX, DORI ETC",GOLD,ACTIVE,GOLD SALES ACCOUNT - 22K,"WAX, DORI ETC"
GOLD SALES ACCOUNT - JADAU,GOLD ORNAMENTS JADAU,GOLD,ACTIVE,GOLD SALES ACCOUNT - JADAU,GOLD ORNAMENTS JADAU
GOLD SALES ACCOUNT - 24K,STANDARD GOLD 24K,GOLD,ACTIVE,GOLD SALES ACCOUNT - 24K,STANDARD GOLD 24K
SILVER SALES ACCOUNT,SILVER ARTICLES,SILVER,ACTIVE,SILVER SALES ACCOUNT,SILVER ARTICLES
JEWEL SALES ACCOUNT - DIAMONDS,CHAKRI,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,CHAKRI
JEWEL SALES ACCOUNT - DIAMONDS,CUSTOMER DIAMONDS,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,CUSTOMER DIAMONDS
JEWEL SALES ACCOUNT - DIAMONDS,CUSTOMER FLAT POLKI,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,CUSTOMER FLAT POLKI
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 10
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 100,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 100
JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 110,DIAMONDS,ACTIVE,JEWEL SALES ACCOUNT - DIAMONDS,DI. RA 110
