row_number,source_row_id,voucher_text,voucher_norm,sales_account,sales_account_norm,product,product_norm,sales_account_exists,product_exists,exact_mapping_exists,is_business_skip_row
4,4,JH/2526/ 248,JH2526248,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
5,5,JH/2526/ 249,JH2526249,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
6,6,JH/2526/ 323,JH2526323,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
7,7,JH/2526/ 340,JH2526340,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
8,8,JH/2526/ 374,JH2526374,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
9,9,JH/2526/ 393,JH2526393,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
10,10,JH/2526/ 398,JH2526398,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
11,11,JH/2526/ 398,JH2526398,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
12,12,JH/2526/ 450,JH2526450,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
13,13,JH/2526/ 462,JH2526462,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
14,14,JH/2526/ 489,JH2526489,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
15,15,JH/2526/ 523,JH2526523,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
16,16,JH/2526/ 559,JH2526559,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
17,17,JH/2526/ 575,JH2526575,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
18,18,JH/2526/ 594,JH2526594,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
19,19,JH/2526/ 710,JH2526710,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
20,20,JH/2526/ 714,JH2526714,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
21,21,JH/2526/ 761,JH2526761,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
22,22,JH/2526/ 790,JH2526790,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
23,23,JH/2526/ 814,JH2526814,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
24,24,JH/2526/ 858,JH2526858,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
25,25,JH/2526/ 887,JH2526887,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
26,26,JH/2526/ 916,JH2526916,GOLD SALES ACCOUNT - 22K,GOLD SALES ACCOUNT - 22K,BLACK BEADS,BLACK BEADS,true,true,true,false
