row_number,source_row_id,voucher_text,voucher_norm,sales_account,sales_account_norm,product,product_norm
3748,3748,JH/2526/ 11,JH252611,,,,
3749,3749,JH/2526/ 12,JH252612,,,,
3750,3750,JH/2526/ 17,JH252617,,,,
3751,3751,JH/S/2526/ 4,JHS25264,,,,
3752,3752,JH/S/2526/ 5,JHS25265,,,,
3753,3753,JH/S/2526/ 7,JHS25267,,,,
3754,3754,JH/S/2526/ 8,JHS25268,,,,
3755,3755,JH/2526/ 37,JH252637,,,,
3756,3756,JH/2526/ 43,JH252643,,,,
3757,3757,JH/2526/ 47,JH252647,,,,
3758,3758,JH/2526/ 59,JH252659,,,,
3759,3759,JH/B/2526/ 1,JHB25261,,,,
3760,3760,JH/B/2526/ 2,JHB25262,,,,
3761,3761,JH/2526/ 74,JH252674,,,,
3762,3762,JH/2526/ 79,JH252679,,,,
3763,3763,JH/2526/ 81,JH252681,,,,
3764,3764,JH/2526/ 84,JH252684,,,,
3765,3765,JH/2526/ 88,JH252688,,,,
3766,3766,JH/2526/ 89,JH252689,,,,
3767,3767,JH/2526/ 92,JH252692,,,,
3768,3768,JH/S/2526/ 11,JHS252611,,,,
3769,3769,JH/S/2526/ 15,JHS252615,,,,
3770,3770,JH/S/2526/ 16,JHS252616,,,,
3771,3771,JH/2526/ 108,JH2526108,,,,
3772,3772,JH/2526/ 122,JH2526122,,,,
3773,3773,JH/2526/ 140,JH2526140,,,,
3774,3774,JH/S/2526/ 18,JHS252618,,,,
3775,3775,JH/S/2526/ 19,JHS252619,,,,
3776,3776,JH/2526/ 148,JH2526148,,,,
3777,3777,JH/2526/ 150,JH2526150,,,,
3778,3778,JH/2526/ 187,JH2526187,,,,
3779,3779,JH/2526/ 194,JH2526194,,,,
3780,3780,JH/2526/ 197,JH2526197,,,,
3781,3781,JH/S/2526/ 20,JHS252620,,,,
3782,3782,JH/2526/ 204,JH2526204,,,,
3783,3783,JH/2526/ 212,JH2526212,,,,
3784,3784,JH/2526/ 221,JH2526221,,,,
3785,3785,JH/2526/ 241,JH2526241,,,,
3786,3786,JH/S/2526/ 22,JHS252622,,,,
3787,3787,JH/S/2526/ 23,JHS252623,,,,
3788,3788,JH/S/2526/ 24,JHS252624,,,,
3789,3789,JH/2526/ 256,JH2526256,,,,
3790,3790,JH/2526/ 258,JH2526258,,,,
3791,3791,JH/2526/ 273,JH2526273,,,,
3792,3792,JH/S/2526/ 25,JHS252625,,,,
3793,3793,JH/S/2526/ 26,JHS252626,,,,
3794,3794,JH/S/2526/ 27,JHS252627,,,,
3795,3795,JH/2526/ 285,JH2526285,,,,
3796,3796,JH/2526/ 305,JH2526305,,,,
3797,3797,JH/2526/ 309,JH2526309,,,,
3798,3798,JH/2526/ 313,JH2526313,,,,
